 r    deg    same-diff  
 16    84    1  
 16    279    0  
 16    315    0  
 16    345    0  
 16    156    0  
 16    201    1  
 16    51    1  
 16    42    0  
 16    48    0  
 16    132    1  
 16    276    0  
 16    312    0  
 16    204    0  
 16    210    0  
 16    30    1  
 16    147    1  
 16    270    0  
 16    351    0  
 16    354    1  
 16    306    1  
 16    291    0  
 16    321    1  
 16    12    0  
 16    243    0  
 16    246    1  
 16    177    0  
 16    36    1  
 16    183    1  
 16    342    0  
 16    33    1  
