 r    deg    same-diff  
 16    117    0  
 16    159    0  
 16    261    1  
 16    0    0  
 16    111    0  
 16    3    0  
 16    213    1  
 16    324    1  
 16    150    0  
 16    234    1  
 16    222    1  
 16    168    0  
 16    348    0  
 16    153    0  
 16    195    0  
 16    27    1  
 16    15    0  
 16    162    1  
 16    75    1  
 16    96    1  
 16    93    0  
 16    225    0  
 16    288    1  
 16    114    0  
 16    120    0  
 16    105    1  
 16    81    0  
 16    99    0  
 16    90    1  
 16    285    0  
 16    126    1  
 16    237    1  
 16    357    0  
 16    297    1  
 16    141    0  
 16    57    1  
 16    165    1  
 16    72    0  
 16    231    1  
 16    300    0  
 16    54    1  
 16    198    1  
 16    303    1  
 16    228    0  
 16    327    1  
 16    219    0  
 16    39    0  
 16    174    0  
 16    264    1  
 16    171    1  
 16    267    1  
 16    294    1  
 16    249    0  
 16    63    1  
 16    255    1  
 16    144    1  
 16    135    0  
 16    18    1  
 16    138    1  
 16    192    1  
 16    240    0  
 16    330    0  
 16    9    1  
 16    87    1  
 16    129    0  
 16    78    0  
 16    6    1  
 16    216    1  
 16    102    0  
 16    66    1  
 16    60    0  
 16    69    0  
 16    186    1  
 16    207    0  
 16    108    1  
 16    318    0  
 16    21    0  
 16    336    1  
 16    273    0  
 16    24    0  
 16    180    1  
 16    258    1  
 16    189    1  
 16    339    1  
 16    282    0  
 16    252    0  
 16    123    1  
 16    333    1  
 16    45    1  
 16    309    0  
 16    84    1  
 16    279    0  
 16    315    0  
 16    345    0  
 16    156    0  
 16    201    1  
 16    51    1  
 16    42    0  
 16    48    0  
 16    132    1  
 16    276    0  
 16    312    0  
 16    204    0  
 16    210    0  
 16    30    1  
 16    147    1  
 16    270    0  
 16    351    0  
 16    354    1  
 16    306    1  
 16    291    0  
 16    321    1  
 16    12    0  
 16    243    0  
 16    246    1  
 16    177    0  
 16    36    1  
 16    183    1  
 16    342    0  
 16    33    1  
