 r    deg    same-diff  
 16    240    0  
 16    330    0  
 16    9    1  
 16    87    1  
 16    129    0  
 16    78    0  
 16    6    1  
 16    216    1  
 16    102    0  
 16    66    1  
 16    60    0  
 16    69    0  
 16    186    1  
 16    207    0  
 16    108    1  
 16    318    0  
 16    21    0  
 16    336    1  
 16    273    0  
 16    24    0  
 16    180    1  
 16    258    1  
 16    189    1  
 16    339    1  
 16    282    0  
 16    252    0  
 16    123    1  
 16    333    1  
 16    45    1  
 16    309    0  
