 r    deg    same-diff  
 16    126    1  
 16    237    1  
 16    357    0  
 16    297    1  
 16    141    0  
 16    57    1  
 16    165    1  
 16    72    0  
 16    231    1  
 16    300    0  
 16    54    1  
 16    198    1  
 16    303    1  
 16    228    0  
 16    327    1  
 16    219    0  
 16    39    0  
 16    174    0  
 16    264    1  
 16    171    1  
 16    267    1  
 16    294    1  
 16    249    0  
 16    63    1  
 16    255    1  
 16    144    1  
 16    135    0  
 16    18    1  
 16    138    1  
 16    192    1  
