 type    delay1    delay2    orientation    order    axis_response    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    A_T    Q_T    A_NT1    A_NT2    A_dist    Q_dist    A_NT1_dist    A_NT2_dist    distance_t_dist  
 3.0    7.0    5.0    0.0    1.0    1.0    217.0    206.7    3.0    55.0    25.5    1.0    304.0    4.0    155.0    2.0    304.0    4.0    217.0    55.0    155.0    2.0    206.7    25.5    149.0  
 1.0    7.0    5.0    -1.0    1.0    0.0    35.0    21.7    1.0    144.0    121.4    2.0    245.0    3.0    317.0    4.0    35.0    1.0    144.0    245.0    21.7    1.0    121.4    317.0    13.3  
 1.0    7.0    12.0    1.0    2.0    0.0    142.0    153.2    2.0    206.0    226.2    3.0    337.0    4.0    49.0    1.0    142.0    2.0    206.0    337.0    153.2    2.0    226.2    49.0    11.2  
 3.0    7.0    5.0    0.0    1.0    1.0    328.0    314.7    4.0    245.0    218.4    3.0    66.0    1.0    129.0    2.0    66.0    1.0    328.0    245.0    129.0    2.0    314.7    218.4    63.0  
 1.0    7.0    5.0    -1.0    1.0    0.0    319.0    300.5    4.0    230.0    209.8    3.0    60.0    1.0    125.0    2.0    319.0    4.0    230.0    60.0    300.5    4.0    209.8    125.0    18.5  
 3.0    7.0    12.0    0.0    2.0    0.0    153.0    136.9    2.0    247.0    218.4    3.0    294.0    4.0    43.0    1.0    294.0    4.0    153.0    247.0    43.0    1.0    136.9    218.4    109.0  
 1.0    7.0    5.0    1.0    1.0    1.0    233.0    246.7    3.0    35.0    62.5    1.0    111.0    2.0    311.0    4.0    233.0    3.0    35.0    111.0    246.7    3.0    62.5    311.0    13.7  
 3.0    7.0    12.0    0.0    2.0    1.0    240.0    222.6    3.0    62.0    37.7    1.0    143.0    2.0    308.0    4.0    143.0    2.0    240.0    62.0    308.0    4.0    222.6    37.7    165.0  
 1.0    7.0    5.0    -1.0    1.0    0.0    246.0    231.9    3.0    60.0    40.0    1.0    303.0    4.0    141.0    2.0    246.0    3.0    60.0    303.0    231.9    3.0    40.0    141.0    14.1  
 1.0    7.0    5.0    1.0    1.0    0.0    30.0    46.3    1.0    122.0    151.2    2.0    324.0    4.0    206.0    3.0    30.0    1.0    122.0    324.0    46.3    1.0    151.2    206.0    16.3  
 3.0    7.0    12.0    0.0    2.0    0.0    121.0    131.8    2.0    220.0    243.9    3.0    51.0    1.0    323.0    4.0    51.0    1.0    121.0    220.0    323.0    4.0    131.8    243.9    88.0  
 1.0    7.0    12.0    1.0    2.0    1.0    36.0    55.3    1.0    123.0    143.0    2.0    307.0    4.0    243.0    3.0    36.0    1.0    123.0    307.0    55.3    1.0    143.0    243.0    19.3  
 1.0    7.0    5.0    1.0    1.0    1.0    200.0    211.5    3.0    299.0    322.1    4.0    147.0    2.0    69.0    1.0    200.0    3.0    299.0    147.0    211.5    3.0    322.1    69.0    11.5  
 3.0    7.0    12.0    0.0    2.0    0.0    234.0    218.5    3.0    58.0    29.0    1.0    332.0    4.0    120.0    2.0    332.0    4.0    234.0    58.0    120.0    2.0    218.5    29.0    148.0  
 3.0    7.0    12.0    0.0    2.0    1.0    324.0    307.2    4.0    159.0    132.3    2.0    47.0    1.0    236.0    3.0    47.0    1.0    324.0    159.0    236.0    3.0    307.2    132.3    171.0  
 3.0    7.0    5.0    0.0    1.0    0.0    118.0    131.0    2.0    33.0    61.9    1.0    228.0    3.0    299.0    4.0    228.0    3.0    118.0    33.0    299.0    4.0    131.0    61.9    71.0  
 1.0    7.0    5.0    -1.0    1.0    1.0    229.0    210.3    3.0    50.0    27.9    1.0    153.0    2.0    291.0    4.0    229.0    3.0    50.0    153.0    210.3    3.0    27.9    291.0    18.7  
 3.0    7.0    5.0    0.0    1.0    1.0    209.0    228.0    3.0    295.0    320.3    4.0    114.0    2.0    38.0    1.0    114.0    2.0    209.0    295.0    38.0    1.0    228.0    320.3    76.0  
 3.0    7.0    5.0    0.0    1.0    0.0    158.0    145.4    2.0    237.0    216.0    3.0    49.0    1.0    334.0    4.0    49.0    1.0    158.0    237.0    334.0    4.0    145.4    216.0    75.0  
 3.0    7.0    5.0    0.0    1.0    1.0    293.0    304.8    4.0    37.0    58.7    1.0    143.0    2.0    231.0    3.0    143.0    2.0    293.0    37.0    231.0    3.0    304.8    58.7    88.0  
 3.0    7.0    5.0    0.0    1.0    1.0    69.0    55.3    1.0    324.0    298.8    4.0    154.0    2.0    243.0    3.0    154.0    2.0    69.0    324.0    243.0    3.0    55.3    298.8    89.0  
 1.0    7.0    5.0    1.0    1.0    0.0    293.0    305.1    4.0    25.0    48.3    1.0    242.0    3.0    154.0    2.0    293.0    4.0    25.0    242.0    305.1    4.0    48.3    154.0    12.1  
 1.0    7.0    5.0    1.0    1.0    1.0    316.0    329.9    4.0    115.0    139.8    2.0    28.0    1.0    216.0    3.0    316.0    4.0    115.0    28.0    329.9    4.0    139.8    216.0    13.9  
