 type    delay1    delay2    orientation    order    axis_response    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    A_T    Q_T    A_NT1    A_NT2    A_dist    Q_dist    A_NT1_dist    A_NT2_dist    distance_t_dist  
 1.0    7.0    5.0    -1.0    1.0    1.0    54.0    35.5    1.0    230.0    207.7    3.0    322.0    4.0    131.0    2.0    54.0    1.0    230.0    322.0    35.5    1.0    207.7    131.0    18.5  
 1.0    7.0    5.0    1.0    1.0    0.0    110.0    128.2    2.0    203.0    230.2    3.0    29.0    1.0    316.0    4.0    110.0    2.0    203.0    29.0    128.2    2.0    230.2    316.0    18.2  
 3.0    7.0    5.0    0.0    1.0    1.0    151.0    135.8    2.0    332.0    305.9    4.0    47.0    1.0    244.0    3.0    47.0    1.0    151.0    332.0    244.0    3.0    135.8    305.9    163.0  
 3.0    7.0    12.0    0.0    2.0    0.0    40.0    25.0    1.0    158.0    132.3    2.0    222.0    3.0    315.0    4.0    222.0    3.0    40.0    158.0    315.0    4.0    25.0    132.3    93.0  
 3.0    7.0    5.0    0.0    1.0    1.0    40.0    53.1    1.0    128.0    153.0    2.0    290.0    4.0    229.0    3.0    290.0    4.0    40.0    128.0    229.0    3.0    53.1    153.0    61.0  
 1.0    7.0    12.0    -1.0    2.0    0.0    238.0    220.5    3.0    145.0    115.5    2.0    303.0    4.0    66.0    1.0    238.0    3.0    145.0    303.0    220.5    3.0    115.5    66.0    17.5  
 3.0    7.0    5.0    0.0    1.0    1.0    234.0    217.9    3.0    149.0    126.1    2.0    56.0    1.0    305.0    4.0    56.0    1.0    234.0    149.0    305.0    4.0    217.9    126.1    111.0  
 1.0    7.0    12.0    1.0    2.0    1.0    208.0    218.3    3.0    123.0    152.5    2.0    32.0    1.0    314.0    4.0    208.0    3.0    123.0    32.0    218.3    3.0    152.5    314.0    10.3  
 1.0    7.0    12.0    -1.0    2.0    1.0    139.0    123.0    2.0    228.0    204.5    3.0    318.0    4.0    58.0    1.0    139.0    2.0    228.0    318.0    123.0    2.0    204.5    58.0    16.0  
 3.0    7.0    5.0    0.0    1.0    0.0    203.0    218.6    3.0    30.0    59.2    1.0    327.0    4.0    111.0    2.0    327.0    4.0    203.0    30.0    111.0    2.0    218.6    59.2    144.0  
 1.0    7.0    5.0    -1.0    1.0    1.0    140.0    128.1    2.0    58.0    34.3    1.0    248.0    3.0    322.0    4.0    140.0    2.0    58.0    248.0    128.1    2.0    34.3    322.0    11.9  
 3.0    7.0    5.0    0.0    1.0    1.0    137.0    122.6    2.0    42.0    21.2    1.0    242.0    3.0    339.0    4.0    242.0    3.0    137.0    42.0    339.0    4.0    122.6    21.2    97.0  
 1.0    7.0    12.0    -1.0    2.0    0.0    34.0    21.4    1.0    328.0    306.4    4.0    121.0    2.0    213.0    3.0    34.0    1.0    328.0    121.0    21.4    1.0    306.4    213.0    12.6  
 3.0    7.0    5.0    0.0    1.0    0.0    291.0    304.1    4.0    221.0    243.8    3.0    119.0    2.0    39.0    1.0    119.0    2.0    291.0    221.0    39.0    1.0    304.1    243.8    80.0  
 3.0    7.0    12.0    0.0    2.0    1.0    47.0    27.9    1.0    328.0    301.3    4.0    246.0    3.0    121.0    2.0    246.0    3.0    47.0    328.0    121.0    2.0    27.9    301.3    125.0  
 3.0    7.0    12.0    0.0    2.0    1.0    292.0    308.9    4.0    128.0    149.0    2.0    49.0    1.0    233.0    3.0    49.0    1.0    292.0    128.0    233.0    3.0    308.9    149.0    176.0  
 1.0    7.0    12.0    1.0    2.0    1.0    53.0    69.4    1.0    112.0    136.1    2.0    233.0    3.0    338.0    4.0    53.0    1.0    112.0    233.0    69.4    1.0    136.1    338.0    16.4  
 3.0    7.0    12.0    0.0    2.0    1.0    229.0    246.3    3.0    295.0    315.9    4.0    61.0    1.0    112.0    2.0    61.0    1.0    229.0    295.0    112.0    2.0    246.3    315.9    51.0  
 3.0    7.0    12.0    0.0    2.0    0.0    135.0    121.9    2.0    243.0    213.6    3.0    299.0    4.0    63.0    1.0    299.0    4.0    135.0    243.0    63.0    1.0    121.9    213.6    124.0  
 3.0    7.0    5.0    0.0    1.0    0.0    49.0    30.6    1.0    331.0    309.5    4.0    249.0    3.0    123.0    2.0    249.0    3.0    49.0    331.0    123.0    2.0    30.6    309.5    126.0  
 1.0    7.0    12.0    -1.0    2.0    0.0    227.0    209.8    3.0    325.0    295.7    4.0    122.0    2.0    24.0    1.0    227.0    3.0    325.0    122.0    209.8    3.0    295.7    24.0    17.2  
 3.0    7.0    5.0    0.0    1.0    1.0    336.0    325.5    4.0    50.0    23.2    1.0    131.0    2.0    233.0    3.0    131.0    2.0    336.0    50.0    233.0    3.0    325.5    23.2    102.0  
 1.0    7.0    5.0    1.0    1.0    0.0    221.0    231.6    3.0    309.0    335.2    4.0    31.0    1.0    120.0    2.0    221.0    3.0    309.0    31.0    231.6    3.0    335.2    120.0    10.6  
