 type    delay1    delay2    orientation    order    axis_response    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    A_T    Q_T    A_NT1    A_NT2    A_dist    Q_dist    A_NT1_dist    A_NT2_dist    distance_t_dist  
 3.0    7.0    12.0    0.0    2.0    0.0    221.0    239.4    3.0    38.0    63.1    1.0    298.0    4.0    137.0    2.0    298.0    4.0    221.0    38.0    137.0    2.0    239.4    63.1    161.0  
 3.0    7.0    5.0    0.0    1.0    0.0    218.0    233.3    3.0    138.0    158.5    2.0    298.0    4.0    30.0    1.0    298.0    4.0    218.0    138.0    30.0    1.0    233.3    158.5    92.0  
 3.0    7.0    5.0    0.0    1.0    0.0    221.0    240.2    3.0    121.0    147.1    2.0    64.0    1.0    332.0    4.0    64.0    1.0    221.0    121.0    332.0    4.0    240.2    147.1    92.0  
 3.0    7.0    5.0    0.0    1.0    1.0    33.0    44.5    1.0    226.0    248.2    3.0    121.0    2.0    316.0    4.0    121.0    2.0    33.0    226.0    316.0    4.0    44.5    248.2    165.0  
 3.0    7.0    12.0    0.0    2.0    1.0    237.0    247.3    3.0    23.0    43.9    1.0    119.0    2.0    296.0    4.0    119.0    2.0    237.0    23.0    296.0    4.0    247.3    43.9    177.0  
 1.0    7.0    12.0    1.0    2.0    1.0    136.0    152.5    2.0    21.0    45.9    1.0    314.0    4.0    247.0    3.0    136.0    2.0    21.0    314.0    152.5    2.0    45.9    247.0    16.5  
 1.0    7.0    12.0    -1.0    2.0    1.0    131.0    115.5    2.0    329.0    302.2    4.0    38.0    1.0    212.0    3.0    131.0    2.0    329.0    38.0    115.5    2.0    302.2    212.0    15.5  
 1.0    7.0    12.0    -1.0    2.0    0.0    224.0    211.0    3.0    334.0    307.9    4.0    118.0    2.0    43.0    1.0    224.0    3.0    334.0    118.0    211.0    3.0    307.9    43.0    13.0  
 1.0    7.0    5.0    -1.0    1.0    1.0    47.0    28.2    1.0    338.0    309.6    4.0    111.0    2.0    204.0    3.0    47.0    1.0    338.0    111.0    28.2    1.0    309.6    204.0    18.8  
 3.0    7.0    12.0    0.0    2.0    1.0    126.0    110.2    2.0    50.0    28.1    1.0    319.0    4.0    236.0    3.0    319.0    4.0    126.0    50.0    236.0    3.0    110.2    28.1    83.0  
 1.0    7.0    12.0    -1.0    2.0    1.0    132.0    116.5    2.0    62.0    41.0    1.0    217.0    3.0    320.0    4.0    132.0    2.0    62.0    217.0    116.5    2.0    41.0    320.0    15.5  
 1.0    7.0    12.0    1.0    2.0    0.0    112.0    130.4    2.0    293.0    321.3    4.0    240.0    3.0    22.0    1.0    112.0    2.0    293.0    240.0    130.4    2.0    321.3    22.0    18.4  
 1.0    7.0    12.0    1.0    2.0    0.0    317.0    331.8    4.0    123.0    144.8    2.0    236.0    3.0    41.0    1.0    317.0    4.0    123.0    236.0    331.8    4.0    144.8    41.0    14.8  
 3.0    7.0    5.0    0.0    1.0    0.0    220.0    208.5    3.0    151.0    124.6    2.0    308.0    4.0    63.0    1.0    308.0    4.0    220.0    151.0    63.0    1.0    208.5    124.6    115.0  
 1.0    7.0    5.0    -1.0    1.0    1.0    324.0    308.8    4.0    49.0    23.5    1.0    133.0    2.0    206.0    3.0    324.0    4.0    49.0    133.0    308.8    4.0    23.5    206.0    15.2  
 1.0    7.0    5.0    1.0    1.0    1.0    44.0    62.5    1.0    129.0    156.9    2.0    200.0    3.0    326.0    4.0    44.0    1.0    129.0    200.0    62.5    1.0    156.9    326.0    18.5  
 1.0    7.0    12.0    -1.0    2.0    1.0    335.0    322.7    4.0    152.0    124.2    2.0    64.0    1.0    236.0    3.0    335.0    4.0    152.0    64.0    322.7    4.0    124.2    236.0    12.3  
 3.0    7.0    5.0    0.0    1.0    1.0    233.0    246.4    3.0    309.0    335.2    4.0    126.0    2.0    21.0    1.0    126.0    2.0    233.0    309.0    21.0    1.0    246.4    335.2    105.0  
 1.0    7.0    12.0    1.0    2.0    0.0    204.0    223.5    3.0    116.0    142.8    2.0    310.0    4.0    21.0    1.0    204.0    3.0    116.0    310.0    223.5    3.0    142.8    21.0    19.5  
 3.0    7.0    5.0    0.0    1.0    0.0    311.0    298.7    4.0    59.0    37.0    1.0    115.0    2.0    221.0    3.0    115.0    2.0    311.0    59.0    221.0    3.0    298.7    37.0    106.0  
 1.0    7.0    5.0    -1.0    1.0    0.0    134.0    114.9    2.0    54.0    28.5    1.0    214.0    3.0    310.0    4.0    134.0    2.0    54.0    214.0    114.9    2.0    28.5    310.0    19.1  
 3.0    7.0    5.0    0.0    1.0    0.0    229.0    213.7    3.0    156.0    134.0    2.0    68.0    1.0    295.0    4.0    68.0    1.0    229.0    156.0    295.0    4.0    213.7    134.0    133.0  
 3.0    7.0    12.0    0.0    2.0    1.0    205.0    222.4    3.0    27.0    55.0    1.0    113.0    2.0    290.0    4.0    113.0    2.0    205.0    27.0    290.0    4.0    222.4    55.0    177.0  
