 type    delay1    delay2    orientation    order    axis_response    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    A_T    Q_T    A_NT1    A_NT2    A_dist    Q_dist    A_NT1_dist    A_NT2_dist    distance_t_dist  
 1.0    7.0    5.0    -1.0    1.0    1.0    45.0    33.4    1.0    322.0    297.4    4.0    211.0    3.0    120.0    2.0    45.0    1.0    322.0    211.0    33.4    1.0    297.4    120.0    11.6  
 1.0    7.0    12.0    -1.0    2.0    1.0    129.0    111.2    2.0    331.0    301.8    4.0    247.0    3.0    34.0    1.0    129.0    2.0    331.0    247.0    111.2    2.0    301.8    34.0    17.8  
 1.0    7.0    12.0    1.0    2.0    1.0    317.0    332.0    4.0    122.0    145.3    2.0    47.0    1.0    215.0    3.0    317.0    4.0    122.0    47.0    332.0    4.0    145.3    215.0    15.0  
 3.0    7.0    12.0    0.0    2.0    0.0    35.0    45.0    1.0    205.0    230.2    3.0    323.0    4.0    149.0    2.0    323.0    4.0    35.0    205.0    149.0    2.0    45.0    230.2    174.0  
 1.0    7.0    5.0    -1.0    1.0    0.0    58.0    45.1    1.0    339.0    318.4    4.0    148.0    2.0    215.0    3.0    58.0    1.0    339.0    148.0    45.1    1.0    318.4    215.0    12.9  
 3.0    7.0    5.0    0.0    1.0    0.0    116.0    133.1    2.0    310.0    335.1    4.0    227.0    3.0    36.0    1.0    227.0    3.0    116.0    310.0    36.0    1.0    133.1    335.1    169.0  
 1.0    7.0    12.0    -1.0    2.0    1.0    45.0    32.3    1.0    156.0    127.3    2.0    203.0    3.0    304.0    4.0    45.0    1.0    156.0    203.0    32.3    1.0    127.3    304.0    12.7  
 1.0    7.0    5.0    1.0    1.0    0.0    144.0    155.5    2.0    29.0    55.8    1.0    299.0    4.0    244.0    3.0    144.0    2.0    29.0    299.0    155.5    2.0    55.8    244.0    11.5  
 1.0    7.0    5.0    -1.0    1.0    0.0    49.0    31.5    1.0    335.0    313.3    4.0    138.0    2.0    210.0    3.0    49.0    1.0    335.0    138.0    31.5    1.0    313.3    210.0    17.5  
 1.0    7.0    5.0    1.0    1.0    1.0    117.0    135.2    2.0    304.0    325.5    4.0    201.0    3.0    57.0    1.0    117.0    2.0    304.0    201.0    135.2    2.0    325.5    57.0    18.2  
 3.0    7.0    5.0    0.0    1.0    1.0    46.0    64.4    1.0    217.0    237.1    3.0    117.0    2.0    290.0    4.0    117.0    2.0    46.0    217.0    290.0    4.0    64.4    237.1    173.0  
 1.0    7.0    5.0    -1.0    1.0    1.0    37.0    21.7    1.0    147.0    117.3    2.0    335.0    4.0    202.0    3.0    37.0    1.0    147.0    335.0    21.7    1.0    117.3    202.0    15.3  
 3.0    7.0    12.0    0.0    2.0    1.0    137.0    119.9    2.0    237.0    215.9    3.0    306.0    4.0    53.0    1.0    306.0    4.0    137.0    237.0    53.0    1.0    119.9    215.9    107.0  
 3.0    7.0    12.0    0.0    2.0    1.0    59.0    42.6    1.0    244.0    218.5    3.0    154.0    2.0    335.0    4.0    154.0    2.0    59.0    244.0    335.0    4.0    42.6    218.5    179.0  
 1.0    7.0    5.0    -1.0    1.0    0.0    149.0    130.4    2.0    46.0    25.2    1.0    227.0    3.0    300.0    4.0    149.0    2.0    46.0    227.0    130.4    2.0    25.2    300.0    18.6  
 3.0    7.0    5.0    0.0    1.0    1.0    54.0    35.5    1.0    329.0    300.5    4.0    138.0    2.0    240.0    3.0    138.0    2.0    54.0    329.0    240.0    3.0    35.5    300.5    102.0  
 3.0    7.0    12.0    0.0    2.0    1.0    24.0    39.0    1.0    214.0    241.6    3.0    291.0    4.0    119.0    2.0    291.0    4.0    24.0    214.0    119.0    2.0    39.0    241.6    172.0  
 3.0    7.0    5.0    0.0    1.0    0.0    232.0    247.0    3.0    39.0    66.0    1.0    120.0    2.0    291.0    4.0    120.0    2.0    232.0    39.0    291.0    4.0    247.0    66.0    171.0  
 1.0    7.0    5.0    -1.0    1.0    1.0    136.0    118.6    2.0    327.0    304.0    4.0    30.0    1.0    234.0    3.0    136.0    2.0    327.0    30.0    118.6    2.0    304.0    234.0    17.4  
 1.0    7.0    12.0    -1.0    2.0    1.0    62.0    47.8    1.0    140.0    115.5    2.0    308.0    4.0    204.0    3.0    62.0    1.0    140.0    308.0    47.8    1.0    115.5    204.0    14.2  
 1.0    7.0    12.0    1.0    2.0    0.0    114.0    124.8    2.0    293.0    317.0    4.0    39.0    1.0    241.0    3.0    114.0    2.0    293.0    39.0    124.8    2.0    317.0    241.0    10.8  
 3.0    7.0    12.0    0.0    2.0    1.0    33.0    49.5    1.0    113.0    138.7    2.0    331.0    4.0    240.0    3.0    331.0    4.0    33.0    113.0    240.0    3.0    49.5    138.7    91.0  
 3.0    7.0    5.0    0.0    1.0    1.0    337.0    319.0    4.0    239.0    214.2    3.0    56.0    1.0    126.0    2.0    56.0    1.0    337.0    239.0    126.0    2.0    319.0    214.2    70.0  
