 T1    T2    P1    P2    d1    d2  
 151.0    102.0    157.0    111.0    -1.0    -1.0  
 132.0    134.0    129.0    138.0    1.0    -1.0  
 198.0    233.0    189.0    236.0    1.0    -1.0  
 349.0    290.0    355.0    296.0    1.0    1.0  
 253.0    203.0    246.0    202.0    1.0    1.0  
 242.0    220.0    252.0    212.0    -1.0    1.0  
 329.0    301.0    334.0    305.0    1.0    1.0  
 234.0    243.0    242.0    233.0    -1.0    1.0  
 216.0    244.0    211.0    234.0    1.0    1.0  
 202.0    191.0    196.0    192.0    1.0    -1.0  
 195.0    242.0    204.0    236.0    -1.0    1.0  
 333.0    288.0    339.0    296.0    1.0    1.0  
 286.0    315.0    290.0    308.0    1.0    -1.0  
 257.0    190.0    248.0    197.0    1.0    -1.0  
 122.0    127.0    113.0    130.0    1.0    -1.0  
 348.0    300.0    343.0    293.0    -1.0    -1.0  
 314.0    332.0    324.0    333.0    1.0    1.0  
 19.0    32.0    24.0    26.0    1.0    -1.0  
 14.0    23.0    7.0    15.0    -1.0    -1.0  
 11.0    13.0    5.0    5.0    -1.0    -1.0  
 50.0    57.0    57.0    62.0    1.0    1.0  
