 T1    T2    P1    P2    d1    d2  
 299.0    346.0    302.0    339.0    1.0    -1.0  
 119.0    166.0    113.0    156.0    1.0    1.0  
 20.0    25.0    17.0    24.0    -1.0    -1.0  
 120.0    105.0    111.0    104.0    1.0    1.0  
 153.0    123.0    143.0    132.0    1.0    -1.0  
 19.0    35.0    29.0    40.0    1.0    1.0  
 333.0    323.0    329.0    324.0    -1.0    1.0  
 164.0    114.0    168.0    113.0    -1.0    1.0  
 132.0    148.0    123.0    146.0    1.0    1.0  
 52.0    28.0    62.0    20.0    1.0    -1.0  
 229.0    237.0    235.0    238.0    -1.0    -1.0  
 311.0    284.0    303.0    292.0    -1.0    1.0  
 107.0    140.0    110.0    143.0    -1.0    -1.0  
 301.0    287.0    298.0    280.0    -1.0    -1.0  
 77.0    43.0    82.0    42.0    1.0    -1.0  
 157.0    113.0    151.0    123.0    1.0    -1.0  
 194.0    201.0    193.0    194.0    1.0    1.0  
