 T1    T2    P1    P2    d1    d2  
 153.0    110.0    161.0    120.0    -1.0    -1.0  
 17.0    58.0    22.0    52.0    1.0    -1.0  
 312.0    296.0    313.0    294.0    1.0    -1.0  
 339.0    318.0    336.0    313.0    -1.0    -1.0  
 18.0    47.0    27.0    55.0    1.0    1.0  
 106.0    159.0    104.0    165.0    1.0    -1.0  
 112.0    148.0    116.0    153.0    -1.0    -1.0  
 125.0    169.0    117.0    171.0    1.0    -1.0  
 245.0    203.0    247.0    211.0    -1.0    -1.0  
 106.0    105.0    114.0    101.0    -1.0    1.0  
 214.0    197.0    212.0    205.0    1.0    -1.0  
 63.0    48.0    56.0    58.0    -1.0    1.0  
 327.0    339.0    331.0    338.0    1.0    -1.0  
 72.0    57.0    68.0    53.0    -1.0    -1.0  
 305.0    280.0    301.0    272.0    -1.0    -1.0  
 298.0    286.0    300.0    290.0    1.0    1.0  
 10.0    18.0    12.0    14.0    1.0    -1.0  
 230.0    204.0    227.0    213.0    1.0    -1.0  
 165.0    127.0    172.0    123.0    -1.0    1.0  
 66.0    13.0    61.0    6.0    -1.0    -1.0  
 330.0    322.0    320.0    323.0    -1.0    1.0  
