 r    deg    same-diff  
 16    175    1  
 16    255    0  
 16    155    1  
 16    275    0  
 16    75    1  
 16    335    0  
 16    325    0  
 16    15    1  
 16    225    0  
 16    265    0  
 16    85    1  
 16    235    0  
 16    135    1  
 16    125    1  
 16    25    1  
 16    65    1  
 16    145    1  
 16    295    0  
 16    45    1  
 16    345    0  
 16    185    0  
 16    205    0  
 16    55    1  
 16    105    1  
 16    95    1  
 16    195    0  
 16    285    0  
 16    355    0  
 16    215    0  
 16    315    0  
 16    245    0  
 16    165    1  
 16    35    1  
 16    115    1  
 16    305    0  
 16    5    1  
